Lambda,DC,w,height,S11,generation
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1.1250059785791629e-07,0.4546039115459466,4.0407458457011643e-07,1.616104745211109e-07,0.28842579143078345,6
1.0681204808426591e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.3529753756918444,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,6.731020893739176e-07,1.616104745211109e-07,0.35317870458838707,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1.1250059785791629e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.3581247002345225,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1.1250059785791629e-07,0.27355655169606075,6.48057817368625e-07,1.616104745211109e-07,0.35299477935134316,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,6
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,6
1.1250059785791629e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.3581247002345225,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,7
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,7
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,7
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1e-07,0.2066263998519604,4.0407458457011643e-07,1.616104745211109e-07,0.34866276533868346,7
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,7
1.1250059785791629e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.3581247002345225,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1.1250059785791629e-07,0.27355655169606075,4.0407458457011643e-07,1.6682320055769673e-07,0.34494931055768746,7
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.3525011802932635,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,7
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.3525011802932635,7
1e-07,0.26839093384566926,4.0407458457011643e-07,1.616104745211109e-07,0.35955507408115805,7
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,7
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,7
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,7
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,8
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.6023282233565128e-07,0.36098952983567456,8
