Lambda,DC,w,height,S11,generation
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,3.0162328365711733e-07,1.616104745211109e-07,0.31310843101172725,8
1e-07,0.19411571421119272,4.1866333944226344e-07,1.616104745211109e-07,0.35010477299022064,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,8
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,8
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,8
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,8
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,8
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,8
1e-07,0.27355655169606075,4.0407458457011643e-07,1.616104745211109e-07,0.36039785959931236,8
1e-07,0.27355655169606075,4.1866333944226344e-07,1.616104745211109e-07,0.36416237198837564,9
1e-07,0.27355655169606075,4.914281014785e-07,1.616104745211109e-07,0.3658307977488732,9
1e-07,0.27355655169606075,4.1866333944226344e-07,1.7356990662767798e-07,0.3527084194235499,9
